Brand Name,Product Name,Rating,Rating Number,Price,Return/Exchange,Expected Delivery,Availability,Product URLs,Other Details
Other,MC SID RAZZ Anime-Death Note L - Morphing Magic Heat Changing Mug - Anime Merchandise India |,5 out of 5,2 ratings,₹499.00,https://www.amazon.in/MC-SID-RAZZ-Anime-Death-Merchandise/dp/B08JZ47XXD/ref=sr_1_66?dchild=1&keywords=Anime&qid=1629699438&sr=8-66#,"Monday, Aug 30",In stock.,https://www.amazon.in/MC-SID-RAZZ-Anime-Death-Merchandise/dp/B08JZ47XXD/ref=sr_1_66?dchild=1&keywords=Anime&qid=1629699438&sr=8-66#,Anime Series Designed - Multicolor Coffee Mug for coffee lover
Ceramic,ONE Piece Anime Mug | Luffy | Luffy Gear 4 Action | Straw HAT | Pirates Anime Mug Cup 350ml,No Rating,-,₹399.00,https://www.amazon.in/Piece-Anime-Luffy-Action-Pirates/dp/B08SKLJDBS/ref=sr_1_67?dchild=1&keywords=Anime&qid=1629699438&sr=8-67#,"Wednesday, Sep 1",In stock.,https://www.amazon.in/Piece-Anime-Luffy-Action-Pirates/dp/B08SKLJDBS/ref=sr_1_67?dchild=1&keywords=Anime&qid=1629699438&sr=8-67#,Material: Ceramic
THREE DICE,THREE DICE WALL POSTER ANIME DARLING IN THE FRANXX ZERO TWO X HIRO 016 - A3 (12 X 18 INCHES) FOR ROOM DECOR,No Rating,-,₹99.00,https://www.amazon.in/THREE-DICE-POSTER-DARLING-FRANXX/dp/B09CNV4Y46/ref=sr_1_68?dchild=1&keywords=Anime&qid=1629699438&sr=8-68#,Aug 28 - Sep 1,In stock.,https://www.amazon.in/THREE-DICE-POSTER-DARLING-FRANXX/dp/B09CNV4Y46/ref=sr_1_68?dchild=1&keywords=Anime&qid=1629699438&sr=8-68#,Poster Size: 30 cm x 45 cm / 12 inches X 18 inches. We suggest using double side tape to paste your posters on the wall right away.
-,Anime Tshirts Tobio kageyama A5 Diary,No Rating,-,-,https://www.amazon.in/Anime-Tshirts-Tobio-kageyama-Diary/dp/B09CDY8XN6/ref=sr_1_69?dchild=1&keywords=Anime&qid=1629699438&sr=8-69#,Aug 27 - 28,Usually dispatched in 2 to 3 days.,https://www.amazon.in/Anime-Tshirts-Tobio-kageyama-Diary/dp/B09CDY8XN6/ref=sr_1_69?dchild=1&keywords=Anime&qid=1629699438&sr=8-69#,-
-,"MANAV ANIMA POT PVC Enema Kit for Home Use with instruction 1 silicon tube, 2 nozzles, 1 clamp with user manual(1500 ml)",No Rating,-,₹339.00,https://www.amazon.in/MANAV-instruction-silicon-nozzles-manual/dp/B098JCLLS4/ref=sr_1_70?dchild=1&keywords=Anime&qid=1629699438&sr=8-70#,Aug 28 - 29,In stock.,https://www.amazon.in/MANAV-instruction-silicon-nozzles-manual/dp/B098JCLLS4/ref=sr_1_70?dchild=1&keywords=Anime&qid=1629699438&sr=8-70#,Non-Sterile Enema kit 1500ml
One click creations,"One click creations Anime Superhero Character Naruto Framed Poster for Home and Office (Multicolour, 12 X 18 inch)",5 out of 5,1 rating,₹499.00,https://www.amazon.in/One-click-creations-Superhero-Multicolour/dp/B08Q4CKG91/ref=sr_1_71?dchild=1&keywords=Anime&qid=1629699438&sr=8-71#,Aug 30 - 31,In stock.,https://www.amazon.in/One-click-creations-Superhero-Multicolour/dp/B08Q4CKG91/ref=sr_1_71?dchild=1&keywords=Anime&qid=1629699438&sr=8-71#,"STYLISH DESIGN: Ideal poster frame for your home, office, studio or gallery. Beautifully display posters and art with this sleek design frame."
GOLDEN FEATHER,Golden Feather Anti Skid Cartoon Anime Designer Mouse pad for laptops and Computers Gaming Mousepad (Anime 8),5 out of 5,1 rating,₹189.00,https://www.amazon.in/Feather-Cartoon-Designer-Computers-Mousepad/dp/B09169BC6G/ref=sr_1_72?dchild=1&keywords=Anime&qid=1629699438&sr=8-72#,"Monday, Aug 30",In stock.,https://www.amazon.in/Feather-Cartoon-Designer-Computers-Mousepad/dp/B09169BC6G/ref=sr_1_72?dchild=1&keywords=Anime&qid=1629699438&sr=8-72#,"Mouse pad-ideal for gamers, graphic designers, or anyone who uses a mouse for long sessions"
Other,MC SID RAZZ - Anime-Quotes Coffee Mug 350 ml - Anime Merchandise India | Multi Color,3.5 out of 5,5 ratings,₹399.00,https://www.amazon.in/MC-SID-RAZZ-Anime-Quotes-Merchandise/dp/B08JPB8KG4/ref=sr_1_73?dchild=1&keywords=Anime&qid=1629699438&sr=8-73#,"Monday, Aug 30",In stock.,https://www.amazon.in/MC-SID-RAZZ-Anime-Quotes-Merchandise/dp/B08JPB8KG4/ref=sr_1_73?dchild=1&keywords=Anime&qid=1629699438&sr=8-73#,Anime Series Designed - Multicolor Coffee Mug for coffee lover
Kawaii Kart,Kawaii Kart™ | Naruto Shippuden Sasuke Uchiha - Vibration Stars Action Figure | Naruto Merchandise for Anime Lovers (Size - 18 cm),4.5 out of 5,2 ratings,"₹1,199.00",https://www.amazon.in/Kawaii-KartTM-Naruto-Shippuden-Sasuke/dp/B09BK4X6QK/ref=sr_1_74?dchild=1&keywords=Anime&qid=1629699438&sr=8-74#,"Thursday, Aug 26",In stock.,https://www.amazon.in/Kawaii-KartTM-Naruto-Shippuden-Sasuke/dp/B09BK4X6QK/ref=sr_1_74?dchild=1&keywords=Anime&qid=1629699438&sr=8-74#,"High Quality: Made of environmental and non-toxic high-quality PVC. Bright colors and never fade, this is your ideal choice."
-,Color Empire Printed Notebook Diary | A5 in Size | Electro Anime | Unrulled Diary | A5 Notepad | Writing Journal | Personal Diary,No Rating,-,-,https://www.amazon.in/Printed-Notebook-Electro-Unrulled-Personal/dp/B099SCHRDL/ref=sr_1_75?dchild=1&keywords=Anime&qid=1629699438&sr=8-75#,"Monday, Aug 30",In stock.,https://www.amazon.in/Printed-Notebook-Electro-Unrulled-Personal/dp/B099SCHRDL/ref=sr_1_75?dchild=1&keywords=Anime&qid=1629699438&sr=8-75#,-
