Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
realme ,"realme C21 (Cross Blue, 32 GB)  (3 GB RAM)",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 8,799",https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C21 (Cross Blue, 64 GB)  (4 GB RAM)",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 9,799",https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C21 (Cross Black, 32 GB)  (3 GB RAM)",Cross Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 8,799",https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C21 (Cross Black, 64 GB)  (4 GB RAM)",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Battery,"Rs. 9,799",https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Power Black, 64 GB)  (6 GB RAM)",Power Black,6 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/poco-m3-power-black-64-gb/p/itmb49cc10841be2?pid=MOBFZTCUTAYPJHHR&lid=LSTMOBFZTCUTAYPJHHRJV1LYX&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFZTCUTAYPJHHR.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9 Power (Blazing Blue, 64 GB)  (4 GB RAM)",Blazing Blue,4 GB,64 GB,48MP + 8MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080$$pixel,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 10,999",https://www.flipkart.com/redmi-9-power-blazing-blue-64-gb/p/itm9533b02ba34ef?pid=MOBFYZ7HHGJUATYD&lid=LSTMOBFYZ7HHGJUATYDFYZRIS&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFYZ7HHGJUATYD.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9 Power (Fiery Red, 64 GB)  (4 GB RAM)",Fiery Red,4 GB,64 GB,48MP + 8MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080$$pixel,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 10,999",https://www.flipkart.com/redmi-9-power-fiery-red-64-gb/p/itmcd78b9bc04aa9?pid=MOBFYZF8XVSHPK5M&lid=LSTMOBFYZF8XVSHPK5MMUYMJE&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFYZF8XVSHPK5M.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 6,999",https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGLL8WZW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG4BEG3HG78BDG.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 6,999",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C25s (Watery Blue, 64 GB)  (4 GB RAM)",Watery Blue,4 GB,64 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 10,499",https://www.flipkart.com/realme-c25s-watery-blue-64-gb/p/itm3546940d1cedb?pid=MOBG39HUHPSJGHRK&lid=LSTMOBG39HUHPSJGHRKLPO5QX&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG39HUHPSJGHRK.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C25s (Watery Blue, 128 GB)  (4 GB RAM)",Watery Blue,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-c25s-watery-blue-128-gb/p/itm3546940d1cedb?pid=MOBG39HUJTFZJXJ8&lid=LSTMOBG39HUJTFZJXJ8CAQXYD&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG39HUJTFZJXJ8.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
